CPU time (s),GPU time (s), Cycle
0.000718,0.000415,621
0.000706,0.000401,622
0.000701,0.000393,623
0.000705,0.000369,624
0.000701,0.000367,625
0.000702,0.000372,626
0.000701,0.000364,627
0.000701,0.000346,628
0.000701,0.000365,629
0.000701,0.000347,630
0.000681,0.000369,631
0.000682,0.000349,632
0.000682,0.000413,633
0.000682,0.000341,634
0.000681,0.000334,635
0.000682,0.000337,636
0.000681,0.000339,637
0.000682,0.000342,638
0.000680,0.000342,639
0.000680,0.000347,640
0.000682,0.000346,641
0.000682,0.000338,642
0.000682,0.000335,643
0.000681,0.000339,644
0.000680,0.000349,645
0.000681,0.000367,646
0.000682,0.000343,647
0.000682,0.000338,648
0.000680,0.000414,649
0.000682,0.000415,650
0.000682,0.000418,651
0.000682,0.000417,652
0.000683,0.000416,653
0.000683,0.000417,654
0.000682,0.000418,655
0.000681,0.000416,656
0.000682,0.000412,657
0.000682,0.000413,658
0.000682,0.000411,659
0.000681,0.000413,660
0.000681,0.000380,661
0.000681,0.000346,662
0.000681,0.000338,663
0.000682,0.000342,664
0.000681,0.000336,665
0.000682,0.000351,666
0.000680,0.000338,667
0.000680,0.000375,668
0.000682,0.000336,669
0.000682,0.000422,670
0.000680,0.000341,671
0.000682,0.000427,672
0.000682,0.000337,673
0.000682,0.000348,674
0.000680,0.000416,675
0.000682,0.000415,676
0.000681,0.000415,677
0.000681,0.000402,678
0.000683,0.000388,679
0.000682,0.000341,680
0.000681,0.000337,681
0.000680,0.000396,682
0.000694,0.000338,683
0.000681,0.000370,684
0.000681,0.000353,685
0.000702,0.000337,686
0.000700,0.000339,687
0.000701,0.000416,688
0.000701,0.000335,689
0.000700,0.000338,690
0.000724,0.000420,691
0.000709,0.000368,692
0.000681,0.000337,693
0.000681,0.000338,694
0.000682,0.000334,695
0.000681,0.000338,696
0.000682,0.000334,697
0.000682,0.000418,698
0.000681,0.000336,699
0.000683,0.000437,700
0.000681,0.000413,701
0.000683,0.000418,702
0.000682,0.000414,703
0.000682,0.000413,704
0.000680,0.000421,705
0.000682,0.000413,706
0.000680,0.000366,707
0.000681,0.000338,708
0.000691,0.000333,709
0.000682,0.000339,710
0.000682,0.000336,711
0.000682,0.000371,712
0.000681,0.000336,713
0.000691,0.000336,714
0.000701,0.000335,715
0.000700,0.000337,716
0.000701,0.000345,717
0.000682,0.000337,718
0.000682,0.000332,719
0.000681,0.000336,720
0.000681,0.000335,721
0.000681,0.000419,722
0.000682,0.000328,723
0.000682,0.000378,724
0.000681,0.000418,725
0.000682,0.000420,726
0.000682,0.000415,727
0.000681,0.000413,728
0.000680,0.000417,729
0.000682,0.000416,730
0.000681,0.000411,731
0.000682,0.000392,732
0.000682,0.000343,733
0.000682,0.000340,734
0.000681,0.000327,735
0.000681,0.000337,736
0.000681,0.000336,737
0.000682,0.000336,738
0.000680,0.000366,739
0.000680,0.000338,740
0.000682,0.000340,741
0.000682,0.000334,742
0.000682,0.000365,743
0.000682,0.000368,744
0.000681,0.000421,745
0.000681,0.000379,746
0.000680,0.000346,747
0.000682,0.000376,748
0.000682,0.000416,749
0.000682,0.000349,750
0.000681,0.000395,751
0.000680,0.000375,752
0.000680,0.000426,753
0.000681,0.000425,754
0.000681,0.000358,755
0.000681,0.000337,756
0.000681,0.000334,757
0.000681,0.000336,758
0.000680,0.000390,759
0.000680,0.000390,760
0.000702,0.000341,761
0.000680,0.000363,762
0.000682,0.000375,763
0.000703,0.000417,764
0.000700,0.000333,765
0.000701,0.000337,766
0.000731,0.000549,767
0.000735,0.000446,768
0.000682,0.000371,769
0.000681,0.000366,770
0.000682,0.000339,771
0.000683,0.000369,772
0.000681,0.000339,773
0.000682,0.000382,774
0.000684,0.000346,775
0.000682,0.000409,776
0.000679,0.000376,777
0.000683,0.000340,778
0.000683,0.000418,779
0.000682,0.000379,780
0.000681,0.000376,781
0.000680,0.000336,782
0.000680,0.000342,783
0.000683,0.000397,784
0.000682,0.000335,785
0.000682,0.000339,786
0.000681,0.000335,787
0.000682,0.000346,788
0.000680,0.000338,789
0.000680,0.000338,790
0.000681,0.000339,791
0.000682,0.000325,792
0.000682,0.000334,793
0.000681,0.000336,794
0.000683,0.000333,795
0.000682,0.000342,796
0.000682,0.000340,797
0.000682,0.000337,798
0.000682,0.000326,799
0.000682,0.000336,800
0.000681,0.000380,801
0.000682,0.000422,802
0.000682,0.000333,803
0.000681,0.000352,804
0.000681,0.000417,805
0.000682,0.000370,806
0.000681,0.000333,807
0.000682,0.000340,808
0.000681,0.000369,809
0.000682,0.000344,810
0.000682,0.000332,811
0.000681,0.000342,812
0.000682,0.000339,813
0.000681,0.000342,814
0.000682,0.000341,815
0.000681,0.000339,816
0.000681,0.000337,817
0.000683,0.000370,818
0.000681,0.000343,819
0.000681,0.000341,820
0.000681,0.000338,821
0.000681,0.000341,822
0.000682,0.000331,823
0.000683,0.000417,824
0.000682,0.000336,825
0.000682,0.000346,826
0.000681,0.000375,827
0.000681,0.000372,828
0.000683,0.000341,829
0.000681,0.000369,830
0.000682,0.000377,831
0.000680,0.000337,832
0.000681,0.000343,833
0.000682,0.000368,834
0.000681,0.000325,835
0.000681,0.000336,836
0.000682,0.000428,837
0.000682,0.000426,838
0.000681,0.000347,839
0.000682,0.000371,840
0.000681,0.000390,841
0.000681,0.000413,842
0.000681,0.000344,843
0.000683,0.000342,844
0.000682,0.000377,845
0.000681,0.000368,846
0.000683,0.000339,847
0.000681,0.000345,848
0.000680,0.000335,849
0.000682,0.000376,850
0.000682,0.000334,851
0.000682,0.000341,852
0.000682,0.000339,853
0.000683,0.000419,854
0.000682,0.000331,855
0.000682,0.000336,856
0.000683,0.000384,857
0.000682,0.000332,858
0.000681,0.000346,859
0.000682,0.000344,860
0.000682,0.000325,861
0.000681,0.000361,862
0.000682,0.000383,863
0.000682,0.000340,864
0.000680,0.000334,865
0.000682,0.000335,866
0.000682,0.000378,867
